School,Year,Games,Wins,Losses,Ties,Preseason Rank,Postseason Rank,Srs,Sp Overall,Sp Offense,Sp Defense,First Name,Last Name,Hire Date,bye
UCF,2023,13,6,7,0,,,6.9,3.4,30.3,25.2,Gus,Malzahn,2021-02-15T00:00:00.000Z,
UCLA,2023,13,8,5,0,,,7.7,9.7,29.6,18.4,Chip,Kelly,2017-11-27T00:00:00.000Z,
UConn,2023,12,3,9,0,,,-13.5,-15.6,17,31,Jim,Mora,2021-11-11T00:00:00.000Z,
UL Monroe,2023,12,2,10,0,,,-17.1,-21.6,17.6,37.5,Terry,Bowden,2020-12-23T00:00:00.000Z,
UNLV,2023,14,9,5,0,,,0.9,1.4,32.1,32.7,Barry,Odom,,
USC,2023,13,8,5,0,6,,9,9.4,43.3,32.8,Lincoln,Riley,2021-11-28T00:00:00.000Z,
Utah,2023,13,8,5,0,14,,8.1,8.5,26.7,19.4,Kyle,Whittingham,2004-12-08T00:00:00.000Z,
Utah State,2023,13,6,7,0,,,-4.6,-10.9,28.6,38.6,Blake,Anderson,2020-12-12T00:00:00.000Z,
UTEP,2023,12,3,9,0,,,-13.7,-16.2,16.9,32,Dana,Dimel,2017-12-06T00:00:00.000Z,
UTSA,2023,13,9,4,0,,,0.4,5.4,31.3,27.3,Jeff,Traylor,2019-12-09T00:00:00.000Z,
Vanderbilt,2023,12,2,10,0,,,-11,-12.7,23.6,36.3,Clark,Lea,2020-12-14T00:00:00.000Z,
Virginia,2023,12,3,9,0,,,-4.4,-10.8,21,31.7,Tony,Elliott,2021-12-10T00:00:00.000Z,
Virginia Tech,2023,13,7,6,0,,,3.9,5.8,27.5,23.3,Brent,Pry,2021-11-30T00:00:00.000Z,
Wake Forest,2023,12,4,8,0,,,-4.1,-7.9,20.2,26.9,Dave,Clawson,2013-12-09T00:00:00.000Z,
Washington,2023,15,14,1,0,10,2,16.5,16.4,40.3,24.7,Kalen,DeBoer,2021-11-29T00:00:00.000Z,
Washington State,2023,12,5,7,0,,,6.2,4.9,31,27.4,Jake,Dickert,2021-10-18T00:00:00.000Z,
West Virginia,2023,13,9,4,0,,,6.5,7.5,31.5,24.6,Neal,Brown,2019-01-04T00:00:00.000Z,
Western Kentucky,2023,13,8,5,0,,,-2.8,-2,28.7,30.1,Tyson,Helton,2018-11-27T00:00:00.000Z,
Western Michigan,2023,12,4,8,0,,,-14.6,-15.9,19.1,33.2,Lance,Taylor,,
Wisconsin,2023,13,7,6,0,19,,4,9.4,22.2,14.1,Luke,Fickell,,
Wyoming,2023,13,9,4,0,,,-1.3,-3.6,23.5,26.1,Craig,Bohl,2013-12-08T00:00:00.000Z,
